Region,Year,Total,1Room_rent_SQM,2Room_rent_SQM,3Room_rent_SQM,4Room_rent_SQM,5Room_rent_SQM,6Room_rent_SQM,Empty_quota,Density_p_per_room,density_p_per_flat,Size_per_p_in_sqm,Ownership_quota,Amount_total,amount_Rentals,amount_Genossenschaft,amount_own_flat,amount_own_house,amount_Others
Obwalden,2017,13.8,15.9,14.6,14,13.6,12.8,12.3,0.70,  0.58 ,  2.3 ,  47.8 ,  49.1 ,15905,7343,0,2577,5230,694
Nidwalden,2017,15.7,14.6,16.6,16.7,15.1,14.9,14.5,1.90,  0.57 ,  2.3 ,  49.2 ,  39.9 ,18809,10469,330,3561,3937,512
Glarus,2017,12.6,12.7,15.2,12.7,12.7,11.5,10.3,1.60,  0.54 ,  2.2 ,  49.5 ,  50.4 ,17817,8193,174,1400,7583,466
Zug,2017,19.5,22.1,21.7,19.5,18.8,18.7,22.5,0.44,  0.61 ,  2.3 ,  47.1 ,  33.8 ,53689,33341,1176,10029,8106,1037
Freiburg,2017,14.4,18.2,15.7,14.8,13.5,13.5,13.7,1.51,  0.63 ,  2.4 ,  44.6 ,  44.4 ,128430,65008,599,11838,45232,5753
Solothurn,2017,13.3,12.9,13.9,13.6,12.9,12.9,13.2,2.98,  0.55 ,  2.2 ,  49.4 ,  50.4 ,119945,55469,1477,9625,50840,2534
Basel_Stadt,2017,17.2,17.5,18.2,16.8,16.7,17.3,19.1,0.71,  0.63 ,  2.0 ,  41.0 ,  14.9 ,96076,71052,9422,5493,8856,1254
Basel-Land,2017,16.6,17,17.1,16.7,16.2,16.8,18.4,0.76,  0.57 ,  2.2 ,  47.5 ,  46.1 ,126899,62409,3342,12859,45632,2657
Schaffhausen,2017,13.3,11.7,15.2,13.5,12.8,13.3,13.5,2.47,  0.54 ,  2.2 ,  50.5 ,  41.7 ,36796,20289,622,3324,12011,549
Appenzell_A,2017,12.7,16.5,15,12.8,12.7,11.8,10.8,2.18,  0.52 ,  2.3 ,  50.4 ,  51.8 ,23627,10591,269,2317,9932,518
Appenzell_I,2017,13.3,15.6,11.2,15,13,12.6,15.1,1.89,  0.53 ,  2.5 ,  49.1 ,  55.1 ,6400,2564,0,467,3061,250
St.Gallen,2017,13.8,15.9,15.4,14.4,13.3,12.8,12.3,2.20,  0.56 ,  2.3 ,  47.3 ,  42.6 ,218057,117906,3626,23570,69293,3662
Graubunden,2017,14.9,18.7,16.4,15.3,14.8,12.2,11.9,1.59,  0.57 ,  2.1 ,  46.7 ,  46.2 ,90936,43588,1622,14552,27481,3693
Aargau,2017,14.8,16.3,16,15.1,14.3,14.2,14.1,2.65,  0.57 ,  2.3 ,  49.7 ,  49.1 ,288460,137091,3666,38194,103516,5994
Thurgau,2017,13.2,13.8,14.4,13.9,12.8,11.9,11.8,2.42,  0.55 ,  2.3 ,  51.2 ,  47.0 ,118119,58964,1101,11897,43648,2508
Tessin,2017,13.4,11.7,13.2,13.5,13.5,14.2,16,2.02,  0.59 ,  2.1 ,  47.5 ,  40.5 ,162542,87319,360,25260,40531,9072
Waadt,2017,17.1,21.3,18.3,17.1,15.9,16.7,17.3,1.08,  0.64 ,  2.3 ,  42.6 ,  31.0 ,343997,221707,3900,41085,65637,11667
Wallis,2017,13.7,17.4,14.9,13.9,12.6,12.8,14,2.37,  0.61 ,  2.3 ,  45.2 ,  57.3 ,148171,57339,541,37724,47132,5434
Neuenburg,2017,12.1,11.9,12.6,11.7,12.2,12.7,13.4,2.04,  0.59 ,  2.2 ,  44.4 ,  31.6 ,80921,52355,968,9099,16470,2029
Genf,2017,18.7,19.7,18.8,18.5,18.1,18.5,22.6,0.53,  0.75 ,  2.4 ,  36.6 ,  18.8 ,194367,144388,7307,16855,19654,6163
Jura,2017,11,11.8,11,11.3,11.3,9.3,9.9,2.56,  0.54 ,  2.3 ,  47.0 ,  52.8 ,31659,12886,494,2580,14125,1574
Schweiz,2016,15.8,18.1,17.2,15.9,15.1,15.1,16.1,1.45,  0.60 ,  2.2 ,  45.4 ,  38.2 ,3675121,2066409,104777,442042,963222,98671
Zurich,2016,18.6,22.6,20.6,18.6,17.6,17.5,19,0.90,  0.62 ,  2.2 ,  44.5 ,  29.4 ,664054,411747,48776,76143,118803,8584
Bern,2016,14.3,16.2,15.5,14.5,13.9,13.4,13.3,1.84,  0.58 ,  2.2 ,  45.3 ,  40.3 ,462787,251182,9969,49489,137001,15145
